,KGE,NSE,sitenum,summer_params,winter_params,spring_params,fall_params,meanQ
0,0.21775869240689982,-1.0545176538550542,14046890,[ 0.18517158  0.35058379 -1.10710322],[0.20251664 0.00282703 0.18148   ],[0.25957944 0.00680026 0.56320448],[ 0.08384241 -0.00944223  0.79443729],4.649947916666667
0,0.6270268271937933,0.6520958300959414,14138870,[0.09681858 0.00280736 0.07619614],[-5.48207212e-03  3.64725971e-05  6.56695748e-01],[ 0.09713342 -0.00292209  0.29773844],[0.01415862 0.00127446 0.47284481],10.385104166666668
0,0.7716586256058493,0.6933315893489834,14138900,[0.1121995  0.00112179 0.35343223],[ 4.43372793e-02 -2.15038417e-04  5.99351635e-01],[ 0.14298888 -0.00039135  0.15112969],[0.0618972  0.00070505 0.40952649],28.0625
0,0.6997921420393012,0.5406263430459888,14139800,[0.076686   0.00157645 0.10415363],[1.55903731e-02 1.44931594e-04 6.02499475e-01],[1.27354800e-01 9.43665876e-05 8.38528530e-02],[0.01974257 0.00047926 0.47196792],35.575
0,0.8033879107367512,0.6057155248752439,14150800,[ 0.17485073 -0.00267932  1.10226389],[ 8.35335839e-02 -3.73172162e-04  7.32148842e-01],[ 0.17149586 -0.00490726  1.40094244],[ 0.10758426 -0.00060386  0.57501838],20.582500000000003
0,0.8623171432293262,0.7438530200845288,14159200,[1.41750831e-01 3.58227826e-04 9.38304798e-01],[ 5.43609817e-02 -9.63848055e-05  7.76360435e-01],[ 1.64758589e-01 -5.69203568e-04  9.98491521e-01],[ 7.28185381e-02 -1.09401495e-04  5.79038907e-01],315.359375
0,0.8029043998135842,0.6443185576830425,14161500,[ 1.41376778e-01 -2.76833088e-04  5.53931252e-01],[ 0.08920907 -0.0004106   0.3067011 ],[ 0.18142611 -0.0049117   0.76925532],[ 7.85313761e-02 -4.61987476e-05  3.30779432e-01],23.98625000000002
0,0.8431673216525026,0.7260010897359033,14178000,[0.15697075 0.00080708 0.2458936 ],[ 6.64955986e-02 -7.87501060e-05  6.95355730e-01],[ 1.90754900e-01 -2.12754070e-04  7.44107866e-01],[ 5.49430172e-02 -7.64917120e-05  6.48831167e-01],680.59375
0,0.8192518369491036,0.6882097483163723,14179000,[ 0.15681496  0.00168575 -0.13209044],[ 4.79348632e-02 -1.00720742e-04  6.95432415e-01],[ 1.83744694e-01 -3.12105467e-04  5.44139638e-01],[ 4.25614220e-02 -6.10297932e-05  6.35064051e-01],313.95833333333337
0,0.8829962681589337,0.8092296997840185,14180300,[ 0.22962586 -0.00370846  1.05437237],[ 6.34481062e-02 -4.09853803e-04  7.47212619e-01],[ 0.20698981 -0.0028163   0.83667703],[ 0.10685279 -0.00060718  0.54325748],18.587500000000002
0,0.8277893232672808,0.7656262855455803,14182500,[ 0.20595463 -0.00217373  1.21744419],[ 9.06994927e-02 -5.04446615e-05  4.69185402e-01],[ 1.89402434e-01 -2.47186736e-04  5.05391496e-01],[ 1.13822303e-01 -6.42412241e-05  4.05740457e-01],162.19791666666669
0,0.5572808082994823,0.4511460773010011,14206950,[ 7.95133711e-02 -6.03358791e-04  8.17866404e-01],[0.05735681 0.00077834 0.51627753],[ 0.10616277 -0.00425009  0.88017306],[0.04674253 0.00059467 0.58022887],10.225624999999999
0,0.6814715634124078,0.6065383662441663,14211400,[ 0.19356536 -0.01264656  0.49216629],[0.1271433  0.00042826 0.42790065],[ 0.20205412 -0.00714145  0.49668514],[ 0.10253555 -0.00062313  0.60220451],3.2944270833333333
0,0.2659052646784781,0.05939612431426666,14211499,[ 0.06858812 -0.10352495  0.32480428],[1.16733527e-01 2.16330055e-04 4.53500812e-01],[ 0.17130825 -0.01551285  0.19543493],[ 3.79308965e-02 -2.36440211e-04  7.72340004e-01],0.7069596354166667
0,0.7551946434293538,0.587184052106303,14211500,[ 0.12455624 -0.00912587  1.20502234],[9.33787136e-02 1.92218371e-04 4.75958237e-01],[ 0.18157144 -0.00915075  0.87546643],[9.25565989e-02 1.75113255e-04 4.89647801e-01],5.715104166666666
0,0.7492329244156655,0.5372034951288341,14211550,[ 0.14697785 -0.01508393  2.02811486],[ 0.12957068 -0.00075416  0.66375177],[ 0.17138678 -0.00809383  1.68528212],[ 1.10642601e-01 -5.95792868e-04  6.58230873e-01],23.320833333333333
